recno	P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	r_pmRA	pmRA	pmDE	Nc	K14	RV	o_RV	r_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
1	P	Berkeley 58	00 00 12	+60 58 00		11.0	2700	0.72	8.47	K14	0.56	1.56	88	K14	-87.0	1	D14				WEBDA	Lynga
2		NGC 7801	00 00 21	+50 44 30	r	8.0	1275	0.17	9.23	D14	-3.56	-2.6	85	K14						4-3-p-*	WEBDA	Lynga
3		FSR 0459	00 00 39	+59 14 20	IR	2.0	3800	1.103	8.95	K12	-1.66	-0.01	8	K14							WEBDA	Lynga
4		Stock 18	00 01 37	+64 37 30		6.0	1242	0.71	8.1	D14	-2.78	-0.15	109	K14						4-2-p-*	WEBDA	Lynga
5		Berkeley 59	00 02 14	+67 25 00		10.0	1000	1.241	6.1	BDW	-2.11	-1.2	2	K14	-5.17	3	D14			3-3-m-n	WEBDA	Lynga
6		Berkeley 104	00 03 30	+63 35 00		3.0	4365	0.45	8.89	D14	-2.35	-0.3	76	K14				0.07		4-2-p-*	WEBDA	Lynga
7	P	Blanco 1	00 04 07	-29 50 00		70.0	269	0.01	7.796	TYC	20.17	3.0	27	K14	5.53	49	M09	0.04	8		WEBDA	Lynga
8		Stock 19	00 04 41	+56 05 00		4.0				D14	1.43	-2.04	42	K14						2-2-p-*	WEBDA	Lynga
9		NGC 7826	00 05 17	-20 41 30	r	20.0	620	0.03	9.34	D14	6.48	-6.2	39	K14	-4.62	1	D14			4-2-p-*	WEBDA	Lynga
10		Majaess 1	00 07 22	+64 58 22	IR	5.0				D14	4.63	1.72	20	K14							WEBDA	Lynga
11		Czernik 1	00 07 38	+61 28 30		2.5	2530	1.23	6.7	K12	-3.83	1.66	5	K14						4-2-m-*	WEBDA	Lynga
12		SAI 1	00 08 20	+51 43 15		4.0	2170	0.34	9.1	D14	0.31	-0.88	35	K14							WEBDA	Lynga
13	P	Berkeley 1	00 09 36	+60 28 30		5.0	2420	0.78	8.6	D14	-1.83	-0.75	135	K14						3-1-p-*	WEBDA	Lynga
14		ASCC 1	00 09 36	+62 40 48		24.0	4000	0.16	8.25	D14	-3.27	1.19	1189	K14	-74.1	3	D14				WEBDA	Lynga
15	P	King 13	00 10 06	+61 10 00		5.0	3100	0.82	8.5	D14	-4.15	-2.46	127	K14						2-2-m-*	WEBDA	Lynga
16		Alessi 20	00 10 34	+58 45 36	e	40.0	600	0.22	6.48	MAD	8.73	-3.11	17	K14	-11.5	1	D14				WEBDA	Lynga
17		FSR 0474	00 10 53	+59 44 50	IR	4.6	4638	1.145	8.9	D14	-0.41	-0.81	53	K14							WEBDA	Lynga
18		FSR 0480	00 14 55	+61 28 23	IR	1.5	5492	0.937	9.3	D14	-1.66	-1.81	24	K14							WEBDA	Lynga
19		Juchert Saloran 1	00 16 20	+59 57 43		5.0	3859	0.83	9.05	D14	-0.59	0.58	60	K14							WEBDA	Lynga
20		Majaess 8	00 16 43	+64 30 21	IR	3.0				D14	-2.38	2.06	24	K14							WEBDA	Lynga
21	P	Berkeley 60	00 17 42	+60 56 00		3.0	4365	0.86	8.2	D14	-3.64	0.2	40	K14				0.07		3-1-p-*	WEBDA	Lynga
22		ASCC 2	00 19 52	+55 42 36		36.0	1200	0.1	8.83	K12	-1.56	-1.34	20	K14							WEBDA	Lynga
23		FSR 0486	00 20 21	+59 19 05	IR	2.5	1850	0.55	8.9	K12	-2.1	-2.11	5	K14							WEBDA	Lynga
24		Majaess 9	00 21 13	+63 19 28	IR	2.0								K14							WEBDA	Lynga
25		Mayer 1	00 21 54	+61 45 00		7.0	1430	0.5	7.74	D14	-1.68	-1.18	122	K14	-20.9	1	D14			4-2-p-n	WEBDA	Lynga
26		King 1	00 22 04	+64 22 50	d	24.6	1080	0.76	9.6	D14	-2.43	1.02	700	K14	-38.4	10	CC15	-0.01	10	2-2-r-*	WEBDA	Lynga
27		SAI 4	00 23 40	+62 42 14		4.0	1600	0.27	8.7	D14	-1.8	3.0	64	K14	-100.7	1	D14				WEBDA	Lynga
28		Stock 20	00 25 15	+62 37 00		4.0	1100	0.2	8.337	D14	-2.53	2.51	82	K14						2-2-p-*	WEBDA	Lynga
29	P	NGC 103	00 25 16	+61 19 24		4.0	3026	0.406	8.126	D14	-3.44	-0.32	101	K14	-116.7	1	D14				WEBDA	Lynga
30	P	Berkeley 2	00 25 18	+60 24 00		2.0	5250	0.8	8.9	K12	0.88	-2.5	14	K14							WEBDA	Lynga
31		FSR 0494	00 25 32	+63 45 28	IR	0.8	5087	0.521	9.3	K12	-2.87	-2.72	9	K14							WEBDA	Lynga
32		FSR 0496	00 26 58	+64 02 00	IR	4.9	1123	0.77	9.055	D14	-1.13	0.09	64	K14							WEBDA	Lynga
33		NGC 110	00 27 25	+71 23 00		12.0	1290	0.42	9.0	D14	0.01	-3.47	408	K14						-1-p-*	WEBDA	Lynga
34		SAI 6	00 27 53	+60 41 21		5.0	2700	0.89	8.5	D14	0.51	-0.03	77	K14							WEBDA	Lynga
35		FSR 0498	00 29 13	+62 24 57	IR	1.5	1800	0.15	8.55	D14	-3.62	-0.1	19	K14				-0.34	1		WEBDA	Lynga
36	P	NGC 129	00 30 00	+60 13 06		19.0	1625	0.548	7.886	D14	-1.23	-0.51	764	K14	-37.36	2	MMU				WEBDA	Lynga
37		Stock 21	00 30 25	+57 55 25		4.0	1700	0.416	8.825	D14	-2.45	-2.72	62	K14						4-2-p-*	WEBDA	Lynga
38		ASCC 3	00 31 09	+55 16 48		25.2	1700	0.17	7.9	D14	0.85	-2.75	877	K14	-37.0	1	D14				WEBDA	Lynga
39	P	NGC 133	00 31 19	+63 21 00		7.0	630	0.6	7.0	Car	-0.7	-0.4	8	K14						4-1-p-*	WEBDA	Lynga
40		NGC 136	00 31 33	+61 30 30		4.0	5220	0.7	8.4	D14	-0.38	1.21	100	K14				-0.05	1		WEBDA	Lynga
41	P	King 14	00 32 03	+63 09 20		8.0	2960	0.34	7.9	D14	-2.25	0.73	227	K14							WEBDA	Lynga
42	P	King 15	00 32 54	+61 52 00		3.0	3162	0.7	8.4	D14	0.32	0.49	48	K14				0.07			WEBDA	Lynga
43	P	NGC 146	00 32 58	+63 20 03		5.5	3470	0.55	7.11	D14	-2.77	0.33	110	K14							WEBDA	Lynga
44		Patchick 78	00 33 10	+65 07 00		1.5	1507	0.6	9.25	D14	5.78	-1.68	10	K14							WEBDA	Lynga
45		NGC 189	00 39 35	+61 05 42		5.0	752	0.42	7.0	D14	-0.36	-3.02	80	K14							WEBDA	Lynga
46	P	Stock 24	00 39 42	+61 57 00		5.0	2818	0.5	8.08	D14	-0.61	0.52	124	K14							WEBDA	Lynga
47		FSR 0505	00 40 04	+61 35 52	IR	1.2				D14	-2.03	-0.19	23	K14							WEBDA	Lynga
48		FSR 0508	00 41 58	+64 58 52	IR	2.5	5501	1.199	9.18	K12	1.72	-0.47	8	K14							WEBDA	Lynga
49		Dias 1	00 42 35	+64 04 05		4.6	1690	1.08	7.1	D14	-2.55	-2.0	51	K14							WEBDA	Lynga
50	P	NGC 225	00 43 39	+61 46 30		12.0	657	0.274	8.114	D14	-1.23	-0.06	89	K14	-28.0	1	K07				WEBDA	Lynga
51	P	Czernik 2	00 43 42	+60 09 00		5.8	1775	0.74	8.0	D14	-0.64	-1.01	136	K14						4-2-m-*	WEBDA	Lynga
52		King 16	00 43 45	+64 11 08		17.6	1920	0.89	7.0	D14	-1.94	-1.21	494	K14	-58.2	1	D14			1-2-m-*	WEBDA	Lynga
53		Berkeley 4	00 45 01	+64 23 05		6.2	2460	0.83	7.1	D14	-3.21	-1.3	119	K14						1-2-p-*	WEBDA	Lynga
54	P	NGC 188	00 47 28	+85 15 18		17.0	1714	0.036	9.88	G14	-0.21	0.17	472	K14	-42.35	472	G14	0.12	4		WEBDA	Lynga
55		Berkeley 61	00 48 30	+67 12 00		3.0	3798	0.69	8.25	D14	-7.26	0.35	41	K14						2-1-p-*	WEBDA	Lynga
56		Dolidze 13	00 49 42	+64 07 35	d	16.0	2400	0.35	8.962	D14	-2.86	-0.71	329	K14						-1-m-*	WEBDA	Lynga
57		FSR 0516	00 50 46	+65 58 06	IR	0.7	810	2.04	8.83	K12	-1.8	-0.45	2	K14							WEBDA	Lynga
58	P	King 2	00 51 00	+58 11 00		5.0	5750	0.31	9.78	D14	-2.0	-2.6	48	K14	-144.25	7	WC09	-0.42	7		WEBDA	Lynga
59		FSR 0519	00 52 30	+64 39 05	IR	1.4	1450	0.7	9.22	D14	-5.38	-2.55	27	K14							WEBDA	Lynga
60	P	IC 1590	00 52 49	+56 37 42		4.0	2940	0.32	6.54	D14	-2.43	-1.9	77	K14	-25.16	3	D14				WEBDA	Lynga
61		FSR 0521	00 53 00	+59 51 00	IR	6.3	2534	0.562	9.21	D14	-3.2	-2.28	112	K14							WEBDA	Lynga
62		ASCC 4	00 53 10	+61 34 48		48.0	750	0.3	8.34	K12	-1.15	-0.63	4	K14	-9.24	4	K12				WEBDA	Lynga
63		Casado Alessi 1	00 53 27	+49 34 00		48.0	302	0.09	8.2	AMD	6.74	-7.79	28	K14	6.0	1	K07			4-2-p-*	WEBDA	Lynga
64		FSR 0522	00 53 50	+65 47 36	IR	0.7	1506	0.874	9.075	K12	-0.7	1.18	12	K14							WEBDA	Lynga
65		ASCC 5	00 57 58	+55 50 24		15.6	1500	0.25	7.03	D14	-0.2	-1.83	290	K14	-43.0	1	D14				WEBDA	Lynga
66		Majaess 19	00 58 29	+56 29 53	IR	14.0				D14	0.48	-2.29	254	K14	-54.0	1	D14				WEBDA	Lynga
67		Skiff J0058+68.4	00 58 29	+68 28 08		21.8	1600	0.85	9.1	D14	-1.56	-4.81	504	K14							WEBDA	Lynga
68		Majaess 20	00 58 37	+65 40 23	IR	2.0								K14							WEBDA	Lynga
69	P	Berkeley 62	01 01 00	+63 57 00	v	10.0	2320	0.85	7.2	D14	-2.07	-1.37	173	K14							WEBDA	Lynga
70		Czernik 3	01 03 06	+62 47 00		2.4	1410	1.42	8.0	K12	-1.55	0.36	4	K14						3-2-p-*	WEBDA	Lynga
71		NGC 358	01 05 11	+62 01 18		3.0				D14	-4.56	2.72	28	K14							WEBDA	Lynga
72	P	NGC 366	01 06 26	+62 13 48		3.5	1785	1.256	7.41	D14	-5.34	4.1	56	K14							WEBDA	Lynga
73		Pfleiderer 1	01 08 07	+65 38 50		5.0	7200	0.94	9.0	D14	-2.48	3.83	18	K14						4-2-m-*	WEBDA	Lynga
74	P	NGC 381	01 08 19	+61 35 00		6.0	1148	0.4	8.505	D14	-0.22	0.11	167	K14	-29.76	2	FM09	0.07			WEBDA	Lynga
75		Stock 3	01 12 18	+62 20 00		5.0	1363	0.708	7.85	D14	-0.94	1.82	61	K14	-6.0	1	D14			4-1-p-*	WEBDA	Lynga
76		Platais 2	01 13 50	+32 01 42		336.0	190	0.05	8.313	K12	13.85	-11.29	7	K14	4.45	14	D14				WEBDA	Lynga
77	P	NGC 433	01 15 11	+60 07 36		2.0	2323	0.86	7.5	K12	-2.32	-1.6	6	K14	-36.91	1	MMU				WEBDA	Lynga
78	P	NGC 436	01 15 58	+58 48 42		5.0	2400	0.4	8.26	D14	-0.38	-0.9	155	K14	-73.78	2	MMU	-0.55			WEBDA	Lynga
79		FSR 0534	01 17 26	+61 18 00	IR	6.0	1800	0.6	8.7	D14	-3.01	-0.11	71	K14							WEBDA	Lynga
80		FSR 0537	01 18 50	+60 21 01	IR	8.1	2075	0.666	9.0	D14	-1.93	-1.37	236	K14							WEBDA	Lynga
81	P	NGC 457	01 19 35	+58 17 12		20.0	2429	0.472	7.324	D14	-2.08	-0.46	647	K14	-29.79	2	MMU				WEBDA	Lynga
82		FSR 0536	01 19 44	+63 04 07	IR	7.2	3001	1.199	8.397	D14	2.73	6.48	24	K14							WEBDA	Lynga
83		FSR 0538	01 22 08	+63 41 35	IR	0.8	2146	1.062	8.86	K12	-0.95	2.77	3	K14							WEBDA	Lynga
84		FSR 0542	01 25 53	+62 59 43	IR	8.0	1934	0.833	8.35	D14	-1.38	-0.08	93	K14				0.07	1		WEBDA	Lynga
85		SAI 14	01 26 00	+62 37 33		4.0	6460	0.55	9.1	D14	-1.18	-0.5	32	K14							WEBDA	Lynga
86	P	NGC 559	01 29 32	+63 18 14		9.1	2430	0.82	8.35	D14	-4.58	1.41	309	K14	-58.4	15	CC15	-0.25	15		WEBDA	Lynga
87		FSR 0547	01 29 52	+60 42 59	IR	2.7	2800	0.3	8.9	K12	0.85	-0.39	2	K14							WEBDA	Lynga
88	P	NGC 581	01 33 23	+60 39 00		5.0	2194	0.382	7.336	BDW	-1.6	0.66	1	K14	-44.2	2	MMU				WEBDA	Lynga
89		Czernik 4	01 35 36	+61 28 35		2.6	1630	1.06	8.0	K12	0.13	-3.9	2	K14	-11.4	1	K14			4-2-p-*	WEBDA	Lynga
90	P	Trumpler 1	01 35 42	+61 17 00		3.0	2469	0.68	7.3	D14	-3.31	-1.02	87	K14	-65.0	1	K12				WEBDA	Lynga
91	P	NGC 609	01 36 23	+64 32 18		3.0	3981	0.35	9.232	D14	0.82	0.1	70	K14							WEBDA	Lynga
92		FSR 0546	01 37 12	+65 51 29	IR	3.9	2501	1.099	9.0	K12	2.32	0.36	13	K14							WEBDA	Lynga
93		FSR 0549	01 39 39	+65 55 11	IR	1.2	6001	0.45	9.3	D14	-3.17	0.23	15	K14							WEBDA	Lynga
94		FSR 0551	01 39 46	+64 53 41	IR	1.2	3500	1.499	6.68	D14	1.79	-1.34	17	K14							WEBDA	Lynga
95		FSR 0553	01 41 02	+64 30 48	IR	3.4	7500	0.999	8.6	D14	-1.5	0.34	55	K14							WEBDA	Lynga
96	P	NGC 637	01 43 04	+64 02 24		3.0	2500	0.64	7.0	D14	-1.28	0.38	77	K14	-45.58	2	D14				WEBDA	Lynga
97		NGC 657	01 43 21	+55 50 11		6.0	1372	0.34	9.2	D14	1.14	-3.95	59	K14							WEBDA	Lynga
98	P	NGC 654	01 44 00	+61 53 06		5.0	2410	0.82	7.0	BDW	-1.34	-0.72	3	K14	-34.2	1	MMU				WEBDA	Lynga
99	P	NGC 659	01 44 24	+60 40 24		5.0	1938	0.652	7.548	BDW	-2.67	1.07	1	K14							WEBDA	Lynga
100		Majaess 26	01 45 40	+64 16 08	IR	4.0				D14	1.19	-0.14	54	K14							WEBDA	Lynga
101	P	Collinder 463	01 45 45	+71 48 36		57.0	702	0.259	8.373	TYC	-0.91	-0.9	40	K14	-7.2	1	K14				WEBDA	Lynga
102	P	NGC 663	01 46 09	+61 14 06	v	14.0	2420	0.8	7.4	BDW	-1.49	-2.3	3	K14	-33.09	1	MMU				WEBDA	Lynga
103		ASCC 6	01 47 13	+57 43 48		36.0	1200	0.3	8.17	K12	-0.52	-0.68	17	K14	-20.0	2	D14				WEBDA	Lynga
104		Berkeley 5	01 47 48	+62 56 00		2.0	6200	1.3	8.9	K12	0.11	-2.78	5	K14						4-1-p-*	WEBDA	Lynga
105		S1	01 50 51	+61 05 28		4.6	2200	0.77	7.4	D14	-3.15	-0.79	85	K14							WEBDA	Lynga
106		Berkeley 6	01 51 11	+61 03 40		8.4	2520	0.9	7.5	D14	-2.89	0.24	169	K14						2-2-p-*	WEBDA	Lynga
107		IC 166	01 52 30	+61 50 00		7.0	4800	0.8	9.0	D14	-1.26	-0.04	249	K14	-36.7	4	K12	-0.178	4		WEBDA	Lynga
108		Stock 4	01 52 48	+57 04 00	d	12.0	1200	0.1	8.7	D14	0.55	-2.23	293	K14						4-1-p-*	WEBDA	Lynga
109		ESO 245 09	01 53 43	-45 57 12	p	14.0	1380	0.312	9.055	D14	8.45	0.57	27	K14						4-2-p-*	WEBDA	Lynga
110	P	Berkeley 7	01 54 12	+62 22 00		4.0	2570	0.8	6.6	D14	-2.76	0.97	66	K14							WEBDA	Lynga
111		Czernik 5	01 55 43	+61 21 21		1.8	2750	1.2	8.45	D14	-2.35	0.06	26	K14						3-1-p-*	WEBDA	Lynga
112	P	NGC 752	01 57 41	+37 47 06		75.0	457	0.034	9.16	TYC	7.5	-11.5	50	K14	5.54	54	M09	0.01	18		WEBDA	Lynga
113	P	NGC 744	01 58 33	+55 28 24		5.0	1207	0.384	8.248	BDW	-1.34	1.15	1	K14							WEBDA	Lynga
114		NGC 743	01 58 37	+60 09 18		8.0	1618	0.95	8.7	D14	-1.04	-2.16	132	K14	-6.5	2	K12			4-1-p-*	WEBDA	Lynga
115		ASCC 7	01 58 55	+58 58 12		30.0	2000	0.5	7.36	D14	0.24	-0.98	1296	K14	-49.0	1	D14				WEBDA	Lynga
116		Berkeley 8	02 01 06	+75 29 00		5.0	3150	0.75	9.5	D14	0.99	-3.08	36	K14						2-2-m-*	WEBDA	Lynga
117		Czernik 6	02 02 00	+62 50 00		8.0	2700	0.26	7.0	D14	-1.15	0.15	158	K14	-22.0	1	D14			2-2-p-*	WEBDA	Lynga
118		Czernik 7	02 03 01	+62 14 48		10.0	3300	0.7	8.34	D14	-1.22	0.21	160	K14						4-2-p-*	WEBDA	Lynga
119		Stock 5	02 04 30	+64 26 00	d	24.0	1100	0.4	7.73	D14	-0.13	-1.53	741	K14	-19.85	2	D14			4-2-p-*	WEBDA	Lynga
120		SAI 16	02 05 30	+62 15 54		5.0	7700	0.7	9.15	D14	-1.87	-0.91	64	K14							WEBDA	Lynga
121		Riddle 4	02 07 23	+60 15 25		4.4	2800	1.1	7.6	D14	9.08	-6.01	29	K14							WEBDA	Lynga
122	P	Stock 2	02 14 43	+59 29 06		60.0	303	0.38	8.23	TYC	17.29	-13.1	54	K14	-41.14	2	D14	-0.14	2		WEBDA	Lynga
123	P	NGC 869	02 19 00	+57 07 42	v	18.0	2079	0.575	7.069	BDW	-0.92	-1.66	4	K14	-42.84	9	D14	-0.3			WEBDA	Lynga
124	P	Basel 10	02 19 28	+58 18 00		2.0	1944	0.774	7.608	LOK	1.47	0.35	13	K14	-32.1	1	K14				WEBDA	Lynga
125		Berkeley 63	02 19 36	+63 43 00		16.0	5700	0.96	7.48	D14	-0.06	2.83	325	K14						3-1-p-*	WEBDA	Lynga
126		FSR 0578	02 20 10	+61 06 31	IR	1.4	2668	1.457	8.985	K12	2.22	-2.11	2	K14							WEBDA	Lynga
127		SAI 17	02 20 48	+59 11 06		2.0	3800	0.98	8.9	K12	0.03	-0.32	4	K14							WEBDA	Lynga
128		ASCC 8	02 20 49	+59 36 36		36.0	2200	0.55	6.76	D14	0.56	-0.43	1411	K14	-17.4	3	D14				WEBDA	Lynga
129	P	Berkeley 64	02 21 06	+65 54 00		2.0	3981	1.05	9.0	K12	-2.2	2.38	4	K14				-0.61			WEBDA	Lynga
130	P	NGC 884	02 22 23	+57 07 33	v	18.2	2940	0.56	7.1	D14	-2.29	-0.63	777	K14	-42.64	5	MMU	-0.3			WEBDA	Lynga
131		Stock 6	02 23 42	+63 52 00	d	14.0	1700	0.4	8.48	D14	0.57	3.05	308	K14						3-2-p-*	WEBDA	Lynga
132		FSR 0584	02 27 11	+61 37 40	IR	2.0	2009	1.041	9.1	K12	1.19	0.55	2	K14							WEBDA	Lynga
133		FSR 0591	02 27 44	+58 45 32	IR	4.0	2200	1.249	8.95	D14	0.57	0.35	52	K14							WEBDA	Lynga
134		Majaess 29	02 28 07	+72 37 35	IR	11.0				D14	-0.97	2.94	59	K14							WEBDA	Lynga
135		Tombaugh 4	02 28 54	+61 47 00		7.0	3850	1.25	8.7	D14	2.05	-5.23	101	K14						2-1-m-n	WEBDA	Lynga
136		Teutsch 55	02 29 00	+62 05 39		8.0	6020	0.82	6.7	D14	-1.25	0.47	84	K14							WEBDA	Lynga
137		Markarian 6	02 29 40	+60 42 24		6.0	698	0.606	7.214	BDW	-3.33	0.24	2	K14	-7.18	3	D14				WEBDA	Lynga
138		FSR 0596	02 29 52	+58 06 37	IR	3.7	1417	0.521	9.15	K12	-1.49	2.97	6	K14							WEBDA	Lynga
139		NGC 956	02 32 15	+44 38 48	d	9.0	2613	0.354	9.1	D14	-0.86	-0.14	64	K14						-2-m-*	WEBDA	Lynga
140	P	IC 1805	02 32 42	+61 27 00		20.0	2344	0.87	6.48	BDW	-2.1	-1.57	15	K14	-45.0	6	DL03				WEBDA	Lynga
141	P	Czernik 8	02 33 00	+58 44 00		2.0	1409	0.803	7.904	LOK	4.92	0.7	10	K14							WEBDA	Lynga
142	P	NGC 957	02 33 21	+57 33 36		10.0	2200	0.71	7.0	D14	-1.33	-0.14	175	K14	-34.34	2	FM09				WEBDA	Lynga
143		Czernik 9	02 33 32	+59 53 12		3.2	1660	1.05	8.8	D14	-1.4	0.28	36	K14						3-2-p-*	WEBDA	Lynga
144		Czernik 10	02 33 54	+60 10 00	d	2.2	1575	1.71	8.3	K12	-4.33	-2.86	11	K14						4-1-p-*	WEBDA	Lynga
145		SAI 21	02 34 45	+62 34 22		3.0	1860	0.58	8.5	D14	-2.95	-1.76	24	K14							WEBDA	Lynga
146	P	King 4	02 35 42	+59 00 00		5.0	3172	0.863	7.605	D14	0.52	2.44	67	K14							WEBDA	Lynga
147		Czernik 11	02 36 35	+59 38 00		3.0	1210	1.0	8.54	D14	-0.08	-0.53	36	K14						4-2-p-n	WEBDA	Lynga
148	P	Trumpler 2	02 36 53	+55 54 54		17.0	725	0.4	7.95	D14	0.11	-3.49	346	K14	2.4		RGDZ				WEBDA	Lynga
149		FSR 0611	02 37 38	+56 24 54	IR	5.5	1000	0.5	8.75	D14	-0.91	-2.28	59	K14							WEBDA	Lynga
150	P	Berkeley 65	02 39 00	+60 25 00		5.0	2274	1.121	6.995	D14	-1.47	-2.65	44	K14							WEBDA	Lynga
151		Czernik 12	02 39 12	+54 55 00		6.0	2000	0.26	9.1	D14	-0.75	-1.66	73	K14						3-2-p-*	WEBDA	Lynga
152	P	NGC 1039	02 42 05	+42 45 42		35.0	499	0.07	8.249	K12	-0.28	-6.91	106	K14	-16.8	1	D14	0.07	4		WEBDA	Lynga
153		FSR 0614	02 42 34	+56 44 00	IR	2.8	2434	0.833	8.8	K12	0.19	-2.81	10	K14							WEBDA	Lynga
154	P	NGC 1027	02 42 43	+61 38 01		6.2	1030	0.41	8.4	D14	-2.46	0.95	94	K14	15.63	1	MMU				WEBDA	Lynga
155		Majaess 30	02 44 36	+60 59 42	IR	2.0								K14							WEBDA	Lynga
156	P	Czernik 13	02 44 42	+62 21 00		4.0	3961	0.755	6.854	D14	-1.05	-2.21	61	K14							WEBDA	Lynga
157		ASCC 9	02 46 55	+57 43 48		20.4	2900	0.9	6.79	D14	-0.93	-0.33	394	K14	-40.73	2	D14				WEBDA	Lynga
158		Teutsch 162	02 47 40	+61 58 30		9.0	2050	0.51	7.0	D14	-0.65	-1.98	141	K14							WEBDA	Lynga
159	P	IC 1848	02 51 12	+60 26 00		18.0	2200	0.66	6.7	BDW	-5.15	0.35	3	K14	-33.76	4	D14				WEBDA	Lynga
160		Collinder 34	02 59 23	+60 34 00	d	25.0				D14	0.4	0.44	765	K14	-40.0	1	D14			1-3-p-n	WEBDA	Lynga
161		SAI 24	02 59 25	+60 33 58		6.0	1000	0.5	7.2	D14	-0.99	1.17	86	K14	-40.0	1	D14				WEBDA	Lynga
162		SAI 25	03 00 27	+57 16 02		7.0	2290	0.84	9.15	D14	-2.19	2.82	45	K14							WEBDA	Lynga
163	P	Berkeley 66	03 04 18	+58 46 00		4.0	5000	1.28	9.6	D14	-0.63	2.6	37	K14	-50.6	2	VGB	-0.48	2		WEBDA	Lynga
164	P	NGC 1193	03 05 56	+44 23 00		3.0	4571	0.19	9.7	D14	1.05	-4.96	26	K14	-82.0	4	K12	-0.293	4		WEBDA	Lynga
165	P	NGC 1252	03 10 49	-57 46 00	cr	8.0	790	0.0	9.45	D14	7.68	3.61	19	K14							WEBDA	Lynga
166	P	NGC 1220	03 11 40	+53 20 42		4.0	1800	0.7	7.778	D14	-0.13	-0.5	30	K14						1-1-p-*	WEBDA	Lynga
167		Trumpler 3	03 11 48	+63 15 00		12.0	460	0.19	8.3	D14	-2.88	-0.7	98	K14	-8.58	2	MMU			3-2-m-*	WEBDA	Lynga
168	P	NGC 1245	03 14 42	+47 14 12		32.0	2818	0.24	9.03	D14	1.83	-1.92	1684	K14	-29.7	16	JPF	-0.04	13		WEBDA	Lynga
169	P	King 5	03 14 45	+52 41 12		14.2	1740	0.7	9.1	D14	-0.17	-3.31	237	K14	-52.0	19	FJ02	-0.3	19		WEBDA	Lynga
170		Stock 23	03 16 11	+60 06 56		29.0	380	0.26	7.51	D14	0.41	-1.33	396	K14	-8.53	4	D14			2-3-p-n	WEBDA	Lynga
171		Czernik 14	03 16 54	+58 36 00		2.0	2175	1.71	8.4	K12	0.33	-2.46	3	K14						3-1-p-*	WEBDA	Lynga
172		Alessi 13	03 21 42	-36 18 00		200.0	100			ALE	36.39	-4.74	12	K14	19.53	3	K07	0.17			WEBDA	Lynga
173		Czernik 15	03 23 12	+52 15 00		2.4	1155	1.0	7.3	K12	1.42	-0.01	3	K14						4-2-p-*	WEBDA	Lynga
174		FSR 0628	03 23 12	+60 33 46	IR	5.4	5001	1.049	9.25	D14	-1.55	-1.34	33	K14							WEBDA	Lynga
175		Melotte 20	03 24 19	+49 51 42		300.0	185	0.09	7.854	LOK	22.41	-25.87	60	K14	-1.39	23	M09	0.04	19		WEBDA	Lynga
176		Alessi Teutsch 9	03 27 27	+34 57 12		57.6	700	0.1	8.65	K05	-3.08	-1.01	13	K14							WEBDA	Lynga
177		King 6	03 27 50	+56 23 59		3.5	871	0.5	8.4	D14	2.29	-1.8	28	K14				0.46		2-2-m-*	WEBDA	Lynga
178		Czernik 16	03 30 48	+52 39 00		5.0	2580	1.29	8.3	D14	0.29	-3.4	33	K14						4-2-p-*	WEBDA	Lynga
179	P	NGC 1342	03 31 38	+37 22 36		15.0	665	0.319	8.655	D14	-2.99	-1.82	146	K14	-10.67	3	MMU	-0.16			WEBDA	Lynga
180		ASCC 11	03 32 17	+44 50 24		42.0	650	0.15	8.61	K12	1.26	-4.75	12	K14	-3.24	3	D14				WEBDA	Lynga
181		Berkeley 9	03 32 39	+52 39 14		6.3	1480	0.79	9.3	D14	1.07	-0.57	64	K14						2-1-p-*	WEBDA	Lynga
182		NGC 1348	03 34 06	+51 24 30		6.0	1820	1.02	8.11	D14	0.59	-0.45	45	K14				0.07		3-2-m-*	WEBDA	Lynga
183		Berkeley 10	03 39 32	+66 29 09		10.0	1700	0.75	9.06	D14	-2.11	-0.5	108	K14				-0.49		2-2-m-*	WEBDA	Lynga
184		SAI 30	03 40 22	+82 14 00		3.0	3100	1.25	8.0	D14	2.2	0.97	16	K14							WEBDA	Lynga
185		FSR 0634	03 40 24	+59 25 10	IR	1.2	2301	1.149	8.952	D14	26.81	-20.15	4	K14							WEBDA	Lynga
186		Alessi Teutsch 10	03 44 26	+29 40 00		25.0				D14	4.85	-3.35	201	K14	26.07	1	D14				WEBDA	Lynga
187		IC 348	03 44 34	+32 09 48		8.0	385	0.929	7.641	D14	3.38	-7.37	33	K14	18.1	4	DL03				WEBDA	Lynga
188		Melotte 22	03 47 00	+24 07 00		120.0	133	0.03	8.131	TYC	19.88	-45.0	50	K14	5.94	49	M09	-0.03	15		WEBDA	Lynga
189		Juchert 11	03 47 18	+53 54 35		5.0	3000	1.901	8.9	D14	18.07	-17.76	6	K14							WEBDA	Lynga
190		Tombaugh 5	03 47 48	+59 03 00		14.0	1750	0.8	8.3	D14	-0.72	-1.75	304	K14	-5.8	1	K12			3-2-r-*	WEBDA	Lynga
191	P	NGC 1444	03 49 25	+52 39 30		4.0	1199	0.712	7.964	BDW	2.34	-1.95	1	K14	2.0	2	D14				WEBDA	Lynga
